"","origin_fips_code","origin_state","origin_county_name","avg_distance","county","county_ascii","county_full","state_name","lat","lng","population","legal_status"
"1","01001","AL","Autauga County (AL)",62.926572,"Autauga","Autauga","Autauga County","Alabama",32.5349,-86.6427,58239,"Illegal"
"2","01003","AL","Baldwin County (AL)",139.214388166667,"Baldwin","Baldwin","Baldwin County","Alabama",30.7276,-87.7226,227131,"Illegal"
"3","01005","AL","Barbour County (AL)",64.02298,"Barbour","Barbour","Barbour County","Alabama",31.8696,-85.3932,25259,"Illegal"
"4","01007","AL","Bibb County (AL)",102.3426305,"Bibb","Bibb","Bibb County","Alabama",32.9986,-87.1265,22412,"Illegal"
"5","01009","AL","Blount County (AL)",109.53490225,"Blount","Blount","Blount County","Alabama",33.9809,-86.5674,58884,"Illegal"
"6","01011","AL","Bullock County (AL)",52.458952,"Bullock","Bullock","Bullock County","Alabama",32.1005,-85.7157,10386,"Illegal"
"7","01013","AL","Butler County (AL)",95.3500275,"Butler","Butler","Butler County","Alabama",31.7524,-86.6803,19181,"Illegal"
"8","01015","AL","Calhoun County (AL)",90.111301,"Calhoun","Calhoun","Calhoun County","Alabama",33.7714,-85.826,116425,"Illegal"
"9","01017","AL","Chambers County (AL)",38.933876,"Chambers","Chambers","Chambers County","Alabama",32.9143,-85.392,34834,"Illegal"
"10","01019","AL","Cherokee County (AL)",86.505019,"Cherokee","Cherokee","Cherokee County","Alabama",34.1759,-85.6038,24975,"Illegal"
"11","01021","AL","Chilton County (AL)",90.7549875,"Chilton","Chilton","Chilton County","Alabama",32.8479,-86.7188,44857,"Illegal"
"12","01023","AL","Choctaw County (AL)",167.632430833333,"Choctaw","Choctaw","Choctaw County","Alabama",32.0198,-88.2632,12792,"Illegal"
"13","01025","AL","Clarke County (AL)",161.3192005,"Clarke","Clarke","Clarke County","Alabama",31.6767,-87.8308,23346,"Illegal"
"14","01027","AL","Clay County (AL)",93.2871806666667,"Clay","Clay","Clay County","Alabama",33.269,-85.8605,14184,"Illegal"
"15","01029","AL","Cleburne County (AL)",71.2755238333333,"Cleburne","Cleburne","Cleburne County","Alabama",33.6745,-85.5188,15046,"Illegal"
"16","01031","AL","Coffee County (AL)",111.1679635,"Coffee","Coffee","Coffee County","Alabama",31.4027,-85.9882,53043,"Illegal"
"17","01033","AL","Colbert County (AL)",135.2850385,"Colbert","Colbert","Colbert County","Alabama",34.7005,-87.8049,56789,"Illegal"
"18","01035","AL","Conecuh County (AL)",124.281694,"Conecuh","Conecuh","Conecuh County","Alabama",31.4292,-86.9937,11778,"Illegal"
"19","01037","AL","Coosa County (AL)",74.6496715,"Coosa","Coosa","Coosa County","Alabama",32.9362,-86.2477,10442,"Illegal"
"20","01039","AL","Covington County (AL)",126.902638,"Covington","Covington","Covington County","Alabama",31.2485,-86.4513,37490,"Illegal"
"21","01041","AL","Crenshaw County (AL)",97.143927,"Crenshaw","Crenshaw","Crenshaw County","Alabama",31.7315,-86.3136,13300,"Illegal"
"22","01043","AL","Cullman County (AL)",116.603670666667,"Cullman","Cullman","Cullman County","Alabama",34.1319,-86.8676,87129,"Illegal"
"23","01045","AL","Dale County (AL)",99.863981,"Dale","Dale","Dale County","Alabama",31.4318,-85.611,49443,"Illegal"
"24","01047","AL","Dallas County (AL)",95.4643625,"Dallas","Dallas","Dallas County","Alabama",32.326,-87.1065,39162,"Illegal"
"25","01049","AL","Dekalb County (AL)",87.8391038333333,"DeKalb","DeKalb","DeKalb County","Alabama",34.4598,-85.8041,71554,"Illegal"
"26","01051","AL","Elmore County (AL)",62.467999,"Elmore","Elmore","Elmore County","Alabama",32.5966,-86.1492,87146,"Illegal"
"27","01053","AL","Escambia County (AL)",130.363518333333,"Escambia","Escambia","Escambia County","Alabama",31.1261,-87.1616,36879,"Illegal"
"28","01055","AL","Etowah County (AL)",88.7032770833333,"Etowah","Etowah","Etowah County","Alabama",34.0453,-86.0348,103468,"Illegal"
"29","01057","AL","Fayette County (AL)",129.532487333333,"Fayette","Fayette","Fayette County","Alabama",33.7212,-87.7388,16365,"Illegal"
